filename	sirlins_filename	name	starting_zone	color	spec	type	subtype	cost	target_icon	tech_level	ATK	HP	rules_text_1	rules_text_2	rules_text_3	flavor_text	pedantry	sha1
bashing_spell_a.jpg	0021_wrecking_ball.jpg	Wrecking Ball	codex	Neutral	Bashing	Spell		0	TRUE				Deal 2 damage to a building.			Wrecked.	Add burn subtype?	e997e8704046d8cdd81834a2d6404c75be193cce
bashing_spell_b.jpg	0022_the_boot.jpg	The Boot	codex	Neutral	Bashing	Spell	Debuff	3	TRUE				Destroy a tech 0 or tech I unit. (Heroes aren't units.)			When you get the boot, you're out.		6c6929d4e2967552f6e7fc095819b82c3a4d1bb0
bashing_spell_c.jpg	0023_intimidate.jpg	Intimidate	codex	Neutral	Bashing	Spell	Debuff	1	TRUE				Give a unit or hero -4 ATK this turn.			Ready to fight now??		6e8e9a3aec0ea13651277b2b28ac515bf3e94a98
bashing_spell_ult.jpg	0024_final_smash.jpg	Final Smash	codex	Neutral	Bashing	Ultimate Spell	Debuff	6	TRUE				Destroy a tech 0 unit, return a tech I unit to its owner's hand, and gain control of a tech II unit.			Troq Smash!		97f50b04f78051451677c69f4bcd9db3b7dca3b1
bashing_tech1_a.jpg	0013_iron_man.jpg	Iron Man	codex	Neutral	Bashing	Unit	Mercenary	3	FALSE	1	3	4				"I'm Iron Man."		0076089916e8a3fd259ea29557c7341d420ae35a
bashing_tech1_b.jpg	0014_revolver_ocelot.jpg	Revolver Ocelot	codex	Neutral	Bashing	Unit	Leopard	2	FALSE	1	3	3	Sparkshot (When attacking a patroller, deals 1 damage to an adjacent patroller.)			What's an ocelot, anyway?		8219f2d317f52fd1505b9d514e9fcb366d42d2ef
bashing_tech2_a.jpg	0015_hired_stomper.jpg	Hired Stomper	codex	Neutral	Bashing	Unit	Lizardman	4	TRUE	2	4	3	Arrives: Deal 3 damage to a unit. (Heroes aren't units.)			"Ragoroggggg! Hssssss!"		cc4f1114f0079e148342ab4961268607e3a5debb
bashing_tech2_b.jpg	0016_regular_sized_rhinoceros.jpg	Regular-sized Rhinoceros	codex	Neutral	Bashing	Unit	Rhino	4	FALSE	2	5	6				As rhinoceroses go, this rhinoceros is a similar size to most rhinoceroses.		a1b12d136baf6db0fc99dc47c5032618095fe661
bashing_tech2_c.jpg	0017_sneaky_pig.jpg	Sneaky Pig	codex	Neutral	Bashing	Unit	Pig	3	FALSE	2	3	3	Haste	Arrives: Gets stealth this turn. (Can sneak past patrollers if that opponent has no detector.)		Have you ever seen a sneaky pig? Exactly.		014704577ce134720e070ac3d0fe8ff7b977a898
bashing_tech2_d.jpg	0018_eggship.jpg	Eggship	codex	Neutral	Bashing	Unit	Contraption	4	FALSE	2	4	3	Flying (Can fly over ground patrollers. Ground forces without anti-air can't attack this or deal combat damage to it when attacked.)			This somewhat-safe mode of transportation has been converted to a warship.		0c0ab0ea15ade112fbd9819e07717481ee2463b4
bashing_tech2_e.jpg	0019_harvest_reaper.jpg	Harvest Reaper	codex	Neutral	Bashing	Unit	Contraption	5	FALSE	2	6	5	Overpower (Excess combat damage this would deal to a patroller hits something else this could attack.)			It reaps the fields. It reaps you.		1ab07bd270a92ec8f20be28fb1cb1a5ceb630ead
bashing_tech3.jpg	0020_trojan_duck.jpg	Trojan Duck	codex	Neutral	Bashing	Unit	Contraption	7	TRUE	3	8	9	Obliterate 2 (Whenever this attacks, destroy the defender's two lowest tech units first.)	Arrives or attacks: Deal 4 damage to a building.		This weapon of war was disguised as a gift. It didn't fool many.		e8f279f3600e3425882fca45e99cdcd998fdf3b8
finesse_spell_a.jpg	0033_harmony.jpg	Harmony	codex	Neutral	Finesse	Ongoing Spell	Buff	2	FALSE				Channeling (Stays in play. Sacrifice it when you lose your Finesse hero.)	Whenever you play a spell, summon a 0/1 neutral Dancer token (limit: 3).	Sacrifice Harmony → "Stop the music." (Your Dancers will flip over!)			db9ed19574abca952b221bc6000bd44afc9a19ab
finesse_spell_b.jpg	0034_discord.jpg	Discord	codex	Neutral	Finesse	Spell	Debuff	2	FALSE				Give all of an opponent's tech 0 and I units -2/-1 until end of turn.			CLANG!		0286e01d25cb2a7442925aaf1a8a2a9c800ea71e
