filename	sirlins_filename	name	starting_zone	color	spec	type	subtype	cost	target_icon	tech_level	ATK	HP	rules_text_1	rules_text_2	rules_text_3	flavor_text	pedantry	sha1
anarchy_spell_a.jpg	0011_chaos_mirror.jpg	Chaos Mirror	codex	Red	Anarchy	Spell		2	FALSE				Swap the printed ATK of two units and/or heroes until end of turn.					1d653b6142e3a771f5246c3b3b56d32e73020e08
anarchy_spell_b.jpg	0012_detonate.jpg	Detonate	codex	Red	Anarchy	Spell		3	TRUE				Trash a worker or building card (not add-on), then trash this card. (Trashed cards are removed from the game, not discarded.)				"not-addons" is awkward and not consistent with Assimilate	976b197834ee808e93ebbf383c8cd1b9b4f9f7e0
anarchy_spell_c.jpg	0013_surprise_attack.jpg	Surprise Attack	codex	Red	Anarchy	Spell	Summon	5	FALSE				Summon two 3/1 blue Shark tokens with haste and ephemeral. (They can attack right away but die at end of turn.)				Add summon subtype?	65e89c3e4f27b19f8e23c12009833b9f039314ca
anarchy_spell_ult.jpg	0014_maximum_anarchy.jpg	Maximum Anarchy	codex	Red	Anarchy	Ultimate Spell		3	FALSE				Destroy all units and heroes.					4da171499939ab502e461b7dea00c3e3d1d82e92
anarchy_tech1_a.jpg	0023_calypso_vystari.jpg	Calypso Vystari	codex	Red	Anarchy	Unit	Mystic	1	TRUE	1	2	2	⤵ → If you played a spell this turn, sideline a patroller. (Move it out of the patrol zone.)					0aa1e8f04de472f9e4d52994a6306cc1fb12b75c
anarchy_tech1_b.jpg	0024_gunpoint_taxman.jpg	Gunpoint Taxman	codex	Red	Anarchy	Unit	Pirate	2	FALSE	1	3	3	Anti-air (Can attack fliers, but can ignore patrolling fliers. Deals combat damage to fliers it fights or that fly over this while it patrols.)	Whenever Gunpoint Taxman kills a patroller, steal ① from that player.				4e3c82ffddc87645923e718fced49cfdfe577dc8
anarchy_tech2_a.jpg	0029_disguised_monkey.jpg	Disguised Monkey	codex	Red	Anarchy	Unit	Monkey	2	FALSE	2	3	3	Haste	Arrives: Gets stealth this turn (Can sneak past patrollers if that opponent has no detector.)				a40dc3bcb0c633467ac9f874b91f5f14d6462e26
anarchy_tech2_b.jpg	0030_chameleon_lizzo.jpg	Chameleon Lizzo	codex	Red	Anarchy	Unit	Lizardman	4	FALSE	2	4	3	Haste	Stealth (Can sneak past patrollers if that opponent has no detector.)	At the end of turn, return Chameleon Lizzo to his owner's hand. (Return it only if it's still in play.)			9a32cd257c738aae4962277b9fc3cffc7bc9eb07
anarchy_tech2_c.jpg	0031_marauder.jpg	Marauder	codex	Red	Anarchy	Unit	Pirate	3	FALSE	2	4	3	Boost ③ (You may pay an additional ③ when you play this to get the boost effect.)	Haste	Arrives: If you boosted, trash a worker.		Boost effect should not say "Arrives:" (because of Boost+Jail ruling, but also for consistency with other Boost Units)	9b95b95cc321b1c638b1b4b0434746447c9f9841
anarchy_tech2_d.jpg	0032_steam_tank.jpg	Steam Tank	codex	Red	Anarchy	Unit	Contraption	3	FALSE	2	3	6	+4 ATK when attacking buildings					d3ede035128d11f54e4e8b05bdc58dd98bbf9a8a
anarchy_tech2_e.jpg	0033_sanatorium.jpg	Sanatorium	codex	Red	Anarchy	Building		4	FALSE	2		4	①, ⤵ → Draw a card. Put up to two tech 0, I and/or II units from your hand into play. Those units gain haste and ephemeral. (They die at end of turn.)					39d3bcd95a65307a725aeadb06bd0d042c6de308
anarchy_tech3.jpg	0044_pirate_gunship.jpg	Pirate Gunship	codex	Red	Anarchy	Unit	Contraption Airship	6	FALSE	3	7	6	Flying, haste, long-range, resist 2 (Opponents must pay ② each time they would ◎ this with a spell or ability.)	Obliterate 2 (Whenever this attacks, destroy the defender's two lowest tech units first.)				e01f6f2a10028b992bc0a8258014cbc094093e72
blood_spell_a.jpg	0015_desperation.jpg	Desperation	codex	Red	Blood	Spell		0	FALSE				If your hand is empty, trash this card and draw three cards. (You can only reshuffle once per main phase.)	Discard your hand at the end of the main phase.				efa93f1ad5263d3cf1cba275fcebc3be050cbc7f
blood_spell_b.jpg	0016_kidnapping.jpg	Kidnapping	codex	Red	Blood	Spell	Debuff	4	TRUE				Gain control of an opposing tech 0, I, or II unit until end of turn. Ready it and it gets haste until end of turn.					5c13fc741c34a18c6aee6108d723f5f57f615048
blood_spell_c.jpg	0017_bloodlust.jpg	Bloodlust	codex	Red	Blood	Spell	Buff	2	TRUE				Give up to two units and/or heroes +1 ATK and haste this turn. They each take 1 damage at end of turn.					bb3de75915a22aee8bc7b57176b1fc386d9332de
blood_spell_ult.jpg	0018_war_drums.jpg	War Drums	codex	Red	Blood	Ultimate Ongoing Spell	Buff	2	FALSE				Channeling (Stays in play. Sacrifice it when you lose your Blood hero.)	Your units get +X ATK where X is the number of units you have.				e092ffa7c788cfe35693ab90f367b615b3ef2ca4
