filename	sirlins_filename	name	starting_zone	color	spec	type	subtype	cost	target_icon	tech_level	ATK	HP	rules_text_1	rules_text_2	rules_text_3	flavor_text	pedantry	sha1
discipline_spell_a.jpg	0010_martial_mastery.jpg	Martial Mastery	codex	White	Discipline	Spell		1	FALSE				Discard a card, draw two cards, then look at the opponent's hand.					e097ab8ed0affad2bdca9375b709172b33382f8c
discipline_spell_b.jpg	0011_versatile_style.jpg	Versatile Style	codex	White	Discipline	Spell		2	TRUE				Choose one of the following: Destroy an upgrade. Disable a unit or hero with flying. Repair 2 damage from a building. Your Discipline hero is a detector this turn.				Debuff?	690fa6ac1da1ecea27f989bacb858deb94be5894
discipline_spell_c.jpg	0012_reversal.jpg	Reversal	codex	White	Discipline	Spell	Debuff	3	TRUE				Deal 3 damage to a patroller, then disable it. (Exhaust it and it doesn't ready during its next ready step. Sideline it if it was patrolling.)					fe310abc0755080260c5262e0d6c53ac9067c99e
discipline_spell_ult.jpg	0013_true_power_of_storms.jpg	True Power of Storms	codex	White	Discipline	Ultimate Spell		3	TRUE				Reveal and discard two other cards that cost ③.	If you do, deal 10 damage to a unit, hero, or building.				0eda7b8c61a782b4a9767a4c185e6409baa917c1
discipline_tech1_a.jpg	0022_rambasa_twin.jpg	Rambasa Twin	codex	White	Discipline	Unit	Tiger Monk	4	FALSE	1	3	2	Arrives: You may put a Rambasa Twin from your codex into play.	The first time a Rambasa Twin dies each turn, return him to his owner's codex.				df160aa3d3181aa809adeb6e9a74058fe1fc86b4
discipline_tech1_b.jpg	0023_sparring_partner.jpg	Sparring Partner	codex	White	Discipline	Unit	Monk	1	TRUE	1	2	2	⤵ → Put a +1/+1 rune on a friendly unit or hero that doesn't have a +1/+1 rune.	② → Ready Sparring Partner, but he can't attack this turn (he can only spar).				6fe0f15ea21e4fe627abfb334ffe0f62b0a979f8
discipline_tech2_a.jpg	0028_young_lightning_dragon.jpg	Young Lightning Dragon	codex	White	Discipline	Unit	Dragon	3	FALSE	2	3	3	Flying (Can fly over ground patrollers. Ground forces without anti-air can't attack this or deal combat damage to it when attacked.)	① → Gets +1 ATK this turn. Thrice-per-turn.				9ed0c471d8f5b35c5588927f2d31fb442708a72c
discipline_tech2_b.jpg	0029_focus_master.jpg	Focus Master	codex	White	Discipline	Unit	Monk Mystic	3	FALSE	2	4	3	Arrives: Put three focus runes on this.	Whenever a friendly unit or hero would take exactly lethal damage, remove a focus rune to prevent 1 damage.				4cf9c462ccb5d65cb27896b4989f2dff1545a315
discipline_tech2_c.jpg	0030_vigor_adept.jpg	Vigor Adept	codex	White	Discipline	Unit	Monk	4	FALSE	2	5	5	Frenzy 1 (Gets +1 ATK on your turn.)	Readiness (Doesn't exhaust to attack, but can only attack once per turn.)				3be6908c30b47aad86f7f19df1d19c49a093a03e
discipline_tech2_d.jpg	0031_mind_parry_monk.jpg	Mind-Parry Monk	codex	White	Discipline	Unit	Monk Mystic	5	FALSE	2	5	4	Opponents can't ◎ your units or heroes with spells or abilities.					02d4a3f27dbe2b1263118bd77da2e5b6561a3912
discipline_tech2_e.jpg	0032_training_grounds.jpg	Training Grounds	codex	White	Discipline	Building		1	FALSE	2		4	Your heroes get +1 ATK.	⤵ → Level up a hero to max level.				0f4bdbe93aea77989fb0aec9e05f3385759b7350
discipline_tech3.jpg	0043_heros_monument.jpg	Hero's Monument	codex	White	Discipline	Legendary Building	Monument	5	FALSE	3		6	Untargetable	Arrives: Summon an 8/8 legendary white Ghost token named "Daigo Stormborne." He's indestructible, untargetable, and unstoppable, but can't patrol. Trash him when this leaves play.	Your heroes get +1/+1.			35a8a3fc26e1ac6607f577869f99925e51403a03
ninjutsu_spell_a.jpg	0014_hidden_ninja.jpg	Hidden Ninja	codex	White	Ninjutsu	Spell	Buff	2	TRUE				Up to two of your units and/or heroes with 4 ATK or less have stealth this turn. (Can sneak past patrollers if that opponent has no detector.)	If either is a Ninja or Ninjutsu hero, draw a card.				514431835011179cb45992c3a232e68f49d9b15e
ninjutsu_spell_b.jpg	0015_speed_of_the_fox.jpg	Speed of the Fox	codex	White	Ninjutsu	Spell	Buff	2	TRUE				Your Ninjutsu hero gets haste, readiness, armor piercing, and +1 ATK this turn.					447a9d3f0dba0c81a5adadf8a81521bc3f99100c
ninjutsu_spell_c.jpg	0016_shuriken_hail.jpg	Shuriken Hail	codex	White	Ninjutsu	Spell		1	FALSE				Deal 1 damage to each patroller.					1f055a703ba3a7cc3452cc1aae906d3517bbc8c3
ninjutsu_spell_ult.jpg	0017_foxs_den_students.jpg	Fox's Den Students	codex	White	Ninjutsu	Ultimate Spell	Summon	4	FALSE				Summon four 1/1 white Ninja tokens. This turn, your Ninja units have haste and stealth.					5af6e8498feaa3e1789d0186bd118eaa84518280
ninjutsu_tech1_a.jpg	0024_inverse_power_ninja.jpg	Inverse Power Ninja	codex	White	Ninjutsu	Unit	Ninja	3	FALSE	1	6	6	Gets -1/-1 for each other unit or hero you have.					4075cc011538daac6ddf26f63b6da39faecabdfe
ninjutsu_tech1_b.jpg	0025_fuzz_cuddles.jpg	Fuzz Cuddles	codex	White	Ninjutsu	Unit	Cute Animal	2	FALSE	1	2	3	Healing 2 (During your upkeep, heal 2 damage from all friendly units and heroes.)					180c3b56fa893fd314913c383f2ed9afe5fb1666
ninjutsu_tech2_a.jpg	0033_flying_fox.jpg	Flying Fox	codex	White	Ninjutsu	Unit	Ninja Contraption	2	FALSE	2	3	1	Flying (Can fly over ground patrollers. Ground forces without anti-air can't attack this or deal combat damage to it when attacked.)					f1997d428440c5f117cddb7b9dc4d997cfb25e3c
ninjutsu_tech2_b.jpg	0034_glorious_ninja.jpg	Glorious Ninja	codex	White	Ninjutsu	Unit	Ninja	5	FALSE	2	4	3	Haste	Swift Strike (Deals its combat damage before units and heroes without swift strike.)				d4cfd4d58090f780fef46013d3cdfc898d434e2c
ninjutsu_tech2_c.jpg	0035_porcupine.jpg	Porcupine	codex	White	Ninjutsu	Unit	Cute Animal	3	FALSE	2	2	6	Deathtouch (Combat damage this deals to units or heroes, even to their armor, kills them.)					86255c56b9ca48b4b8211f83686662777e4f2a55
ninjutsu_tech2_d.jpg	0036_masked_raccoon.jpg	Masked Raccoon	codex	White	Ninjutsu	Unit	Cute Animal Ninja	4	FALSE	2	3	4	Unstoppable by units if you have another Ninja.	Unattackable by units if you have another Cute Animal.				92770dac411589f4a529f4ed084365ce826452b0
ninjutsu_tech2_e.jpg	0037_foxs_den_school.jpg	Fox's Den School	codex	White	Ninjutsu	Legendary Building		4	TRUE	2		4	Invisible	Your Ninjas and Cute Animals are invisible.	②, ⤵ → One of your units becomes a Ninja (in addition to its other types.)			ef504f5b45cf2584e1da83740bebb32d340bab19
ninjutsu_tech3.jpg	0044_jade_fox.jpg	Jade Fox, Den's Headmistress	codex	White	Ninjutsu	Legendary Unit	Ninja	8	FALSE	3	4	6	Arrives: Summon four 1/1 white Ninja tokens.	Your Ninjas have flying and swift strike.				28ea617808dbf4874eb2cfaa43340966b8e87237
strength_spell_a.jpg	0018_birds_nest.jpg	Bird's Nest	codex	White	Strength	Ongoing Spell	Summon	2	FALSE				Channeling (Stays in play. Sacrifice it when you lose your Strength hero.)	Summon two 1/1 white Bird tokens with flying (limit: 2).	Upkeep: Re-summon lost birds (limit: 2).			f1564abe0f46c23b8b75010e13ba46634fa6cd3f
strength_spell_b.jpg	0019_entangling_vines.jpg	Entangling Vines	codex	White	Strength	Ongoing Spell	Debuff	3	TRUE				Attach to a patrolling unit.	Sideline the unit. It can't attack or patrol.				5b3f52aa0ceaeecf291f4e901e1aaafc20a997cf
strength_spell_c.jpg	0020_thunderclap.jpg	Thunderclap	codex	White	Strength	Spell	Debuff	2	TRUE				Sideline up to three units without flying that cost ② or less. (Move them out of the patrol zone.)					a5b10a4699d7ad0405b0e26e741b0fb4e05558dd
